x,time,y_hat
1,2000년 1월,"21,442"
2,2000년 2월,"21,458"
3,2000년 3월,"21,810"
4,2000년 4월,"22,104"
5,2000년 5월,"22,337"
6,2000년 6월,"22,346"
7,2000년 7월,"22,509"
8,2000년 8월,"22,287"
9,2000년 9월,"22,468"
10,2000년 10월,"22,573"
11,2000년 11월,"22,434"
12,2000년 12월,"22,044"
13,2001년 1월,"21,610"
14,2001년 2월,"21,652"
15,2001년 3월,"22,087"
16,2001년 4월,"22,622"
17,2001년 5월,"22,809"
18,2001년 6월,"22,794"
19,2001년 7월,"22,841"
20,2001년 8월,"22,606"
21,2001년 9월,"22,799"
22,2001년 10월,"22,904"
23,2001년 11월,"22,891"
24,2001년 12월,"22,519"
25,2002년 1월,"22,306"
26,2002년 2월,"22,377"
27,2002년 3월,"22,687"
28,2002년 4월,"23,147"
29,2002년 5월,"23,248"
30,2002년 6월,"23,261"
31,2002년 7월,"23,304"
32,2002년 8월,"23,025"
33,2002년 9월,"23,194"
34,2002년 10월,"23,275"
35,2002년 11월,"23,127"
36,2002년 12월,"22,835"
37,2003년 1월,"22,476"
38,2003년 2월,"22,433"
39,2003년 3월,"22,759"
40,2003년 4월,"23,030"
41,2003년 5월,"23,241"
42,2003년 6월,"23,266"
43,2003년 7월,"23,371"
44,2003년 8월,"23,024"
45,2003년 9월,"23,161"
46,2003년 10월,"23,348"
47,2003년 11월,"23,344"
48,2003년 12월,"23,061"
49,2004년 1월,"22,941"
50,2004년 2월,"23,059"
51,2004년 3월,"23,417"
52,2004년 4월,"23,666"
53,2004년 5월,"23,712"
54,2004년 6월,"23,774"
55,2004년 7월,"23,768"
56,2004년 8월,"23,374"
57,2004년 9월,"23,735"
58,2004년 10월,"23,840"
59,2004년 11월,"23,738"
60,2004년 12월,"23,498"
61,2005년 1월,"23,141"
62,2005년 2월,"23,127"
63,2005년 3월,"23,550"
64,2005년 4월,"23,823"
65,2005년 5월,"23,995"
66,2005년 6월,"24,028"
67,2005년 7월,"23,991"
68,2005년 8월,"23,619"
69,2005년 9월,"23,863"
70,2005년 10월,"24,015"
71,2005년 11월,"23,950"
72,2005년 12월,"23,517"
73,2006년 1월,"23,347"
74,2006년 2월,"23,374"
75,2006년 3월,"23,783"
76,2006년 4월,"24,098"
77,2006년 5월,"24,286"
78,2006년 6월,"24,343"
79,2006년 7월,"24,310"
80,2006년 8월,"24,027"
81,2006년 9월,"24,168"
82,2006년 10월,"24,338"
83,2006년 11월,"24,323"
