x,time,y_hat
1,2000 1분기,"200,486.10"
2,2000 2분기,"203,414.50"
3,2000 3분기,"209,253.80"
4,2000 4분기,"207,689.40"
5,2001 1분기,"209,663.30"
6,2001 2분기,"212,914.50"
7,2001 3분기,"216,157.00"
8,2001 4분기,"219,254.50"
9,2002 1분기,"224,320.20"
10,2002 2분기,"228,822.70"
11,2002 3분기,"233,256.60"
12,2002 4분기,"235,359.50"
13,2003 1분기,"233,747.90"
14,2003 2분기,"233,791.50"
15,2003 3분기,"237,575.30"
16,2003 4분기,"243,681.50"
17,2004 1분기,"246,797.10"
18,2004 2분기,"248,493.20"
19,2004 3분기,"249,268.20"
20,2004 4분기,"250,727.30"
21,2005 1분기,"252,706.40"
22,2005 2분기,"257,379.60"
23,2005 3분기,"260,832.80"
24,2005 4분기,"263,418.70"
25,2006 1분기,"268,195.80"
26,2006 2분기,"269,681.60"
27,2006 3분기,"274,113.00"
28,2006 4분기,"275,886.00"
29,2007 1분기,"280,470.30"
30,2007 2분기,"285,000.40"
31,2007 3분기,"288,149.20"
32,2007 4분기,"293,691.50"
33,2008 1분기,"295,070.90"
34,2008 2분기,"296,538.10"
35,2008 3분기,"299,068.50"
36,2008 4분기,"289,093.80"
37,2009 1분기,"289,370.90"
38,2009 2분기,"293,589.40"
39,2009 3분기,"301,934.20"
40,2009 4분기,"303,223.90"
41,2010 1분기,"309,922.50"
42,2010 2분기,"315,305.60"
43,2010 3분기,"318,425.10"
44,2010 4분기,"321,654.70"
45,2011 1분기,"324,781.70"
46,2011 2분기,"326,811.30"
47,2011 3분기,"329,175.20"
48,2011 4분기,"331,124.60"
49,2012 1분기,"332,924.30"
50,2012 2분기,"334,867.30"
51,2012 3분기,"335,968.60"
52,2012 4분기,"338,206.30"
53,2013 1분기,"340,212.00"
54,2013 2분기,"343,881.60"
55,2013 3분기,"346,729.60"
56,2013 4분기,"350,009.50"
57,2014 1분기,"353,531.10"
58,2014 2분기,"355,667.60"
59,2014 3분기,"358,031.80"
60,2014 4분기,"359,741.90"
61,2015 1분기,"362,723.00"
62,2015 2분기,"364,064.20"
63,2015 3분기,"368,599.50"
64,2015 4분기,"371,401.50"
65,2016 1분기,"373,746.60"
66,2016 2분기,"376,768.30"
67,2016 3분기,"378,275.00"
68,2016 4분기,"380,965.20"
69,2017 1분기,"384,682.70"
70,2017 2분기,"387,115.30"
71,2017 3분기,"392,515.90"
72,2017 4분기,"391,681.40"
73,2018 1분기,"395,605.80"
74,2018 2분기,"397,959.20"
75,2018 3분기,"400,197.80"
76,2018 4분기,"404,051.90"
