측정소,년,월,일,시,PM10(㎍/㎥),O3(ppm),SO2(ppm),CO(ppm),NO2(ppm)
수창동,2002,1,1,1,99,0.002,0.015,2.5,0.069
수창동,2002,1,1,2,86,0.002,0.016,2,0.068
수창동,2002,1,1,3,99,0.002,0.012,1.4,0.05
수창동,2002,1,1,4,85,0.002,0.006,1.4,0.049
수창동,2002,1,1,5,70,0.003,0.004,1,0.038
수창동,2002,1,1,6,89,0.002,0.006,1.2,0.042
수창동,2002,1,1,7,77,0.007,0.008,1.2,0.036
수창동,2002,1,1,8,86,0.016,0.009,1.1,0.022
수창동,2002,1,1,9,92,0.016,0.008,1,0.021
수창동,2002,1,1,10,115,0.018,0.004,0.8,0.013
수창동,2002,1,1,11,87,0.02,0.002,0.8,0.01
수창동,2002,1,1,12,75,0.023,0.002,0.8,0.01
수창동,2002,1,1,13,66,0.025,0.001,0.8,0.01
수창동,2002,1,1,14,51,0.027,0.001,0.8,
수창동,2002,1,1,15,42,0.026,0.001,0.8,0.01
수창동,2002,1,1,16,52,0.026,0.001,0.8,0.011
수창동,2002,1,1,17,43,0.025,0.001,0.8,0.013
수창동,2002,1,1,18,33,0.025,0.001,0.8,0.014
수창동,2002,1,1,19,26,0.024,0.001,0.8,
수창동,2002,1,1,20,44,0.021,0.001,0.8,
수창동,2002,1,1,21,33,0.021,0.001,0.8,
수창동,2002,1,1,22,50,0.022,0.001,0.8,
수창동,2002,1,1,23,54,0.018,0.002,0.8,
수창동,2002,1,1,24,34,0.02,0.001,0.7,
수창동,2002,1,2,1,42,0.021,0.001,0.7,
수창동,2002,1,2,2,53,0.025,0.001,0.7,
수창동,2002,1,2,3,49,0.025,0.001,0.7,
수창동,2002,1,2,4,44,0.026,0.001,0.7,
수창동,2002,1,2,5,25,0.026,0.001,0.7,
수창동,2002,1,2,6,66,0.025,0.002,0.7,
수창동,2002,1,2,7,54,0.024,0.002,0.7,
수창동,2002,1,2,8,74,0.021,0.001,0.8,
수창동,2002,1,2,9,72,0.02,0.002,0.8,
수창동,2002,1,2,10,59,0.021,0.002,0.8,
수창동,2002,1,2,11,45,0.022,0.002,0.8,
수창동,2002,1,2,12,42,0.022,0.004,0.8,
수창동,2002,1,2,13,49,0.024,0.003,0.8,
수창동,2002,1,2,14,65,0.02,0.001,0.8,
수창동,2002,1,2,15,64,0.024,0.001,0.8,
수창동,2002,1,2,16,73,0.021,0.001,0.8,
수창동,2002,1,2,17,56,0.02,0.001,0.9,
수창동,2002,1,2,18,49,0.018,0.001,0.8,
수창동,2002,1,2,19,50,0.015,0.001,0.9,
