date,NO2
20181101,0.032
20181102,0.051
20181103,0.056
20181104,0.043
20181105,0.05
20181106,0.063
20181107,0.046
20181108,0.031
20181109,0.019
20181110,0.033
20181111,0.04
20181112,0.038
20181113,0.046
20181114,0.045
20181115,0.057
20181116,0.064
20181119,0.047
20181120,0.037
20181121,0.04
20181122,0.02
20181123,0.032
20181124,0.037
20181125,0.043
20181126,0.051
20181127,0.055
20181128,0.034
20181129,0.05
20181130,0.048
20181201,0.055
20181202,0.049
20181203,0.044
20181204,0.028
20181205,0.028
20181206,0.032
20181207,0.013
20181208,0.015
20181209,0.021
20181210,0.053
20181211,0.057
20181212,0.031
20181213,0.035
20181214,0.038
20181215,0.058
20181216,0.06
20181217,0.042
20181218,0.047
20181219,0.05
20181220,0.063
20181221,0.07
20181222,0.066
20181223,0.025
20181224,0.031
20181225,0.048
20181226,0.031
20181227,0.016
20181228,0.024
20181229,0.019
20181230,0.031
20181231,0.052
20190101,0.034
20190102,0.041
20190103,0.046
20190104,0.065
20190105,0.032
20190106,0.042
20190107,0.056
20190108,0.03
20190109,0.041
20190110,0.048
20190111,0.06
20190112,0.066
20190113,0.058
20190114,0.074
20190115,0.035
20190116,0.029
20190117,0.04
20190118,0.053
20190119,0.059
20190120,0.021
20190121,0.036
20190122,0.049
20190123,0.042
20190124,0.044
20190125,0.036
20190126,0.022
20190127,0.033
20190128,0.023
20190129,0.046
20190130,0.06
20190131,0.029
20190201,0.032
20190202,0.047
20190203,0.036
20190204,0.022
20190205,0.044
20190206,0.049
20190207,0.018
20190208,0.03
20190209,0.019
20190210,0.033
20190211,0.026
20190212,0.036
20190213,0.031
20190214,0.05
20190215,0.04
20190216,0.023
20190217,0.027
20190218,0.057
20190219,0.05
20190220,0.031
20190221,0.048
20190222,0.06
20190223,0.053
20190224,0.052
20190225,0.038
20190226,0.043
20190227,0.056
20190228,0.058
20190301,0.045
20190302,0.068
20190303,0.053
20190304,0.056
20190305,0.032
20190306,0.049
20190307,0.035
20190308,0.043
20190314,0.029
20190315,0.031
20190318,0.044
20190319,0.054
20190320,0.061
20190321,0.023
20190322,0.016
20190323,0.022
20190324,0.019
20190325,0.027
20190326,0.031
20190327,0.023
20190328,0.029
20190329,0.027
20190330,0.019
20190331,0.016
20190401,0.023
20190402,0.026
20190403,0.031
20190404,0.024
20190405,0.024
20190406,0.052
20190407,0.029
20190408,0.024
20190409,0.03
20190410,0.024
20190411,0.036
20190412,0.035
20190413,0.031
20190414,0.022
20190415,0.032
20190416,0.046
20190417,0.039
20190418,0.028
20190419,0.029
20190420,0.024
20190421,0.019
20190422,0.044
20190423,0.044
20190424,0.03
20190425,0.031
20190426,0.021
20190427,0.028
20190428,0.02
20190429,0.041
20190430,0.039
20190501,0.026
20190502,0.02
20190503,0.036
20190504,0.042
20190505,0.033
20190506,0.013
20190507,0.026
20190508,0.023
20190509,0.023
20190510,0.042
20190511,0.046
20190512,0.033
20190513,0.038
20190514,0.026
20190515,0.033
20190516,0.036
20190517,0.05
20190518,0.02
20190519,0.013
20190520,0.014
20190521,0.018
20190522,0.021
20190523,0.025
20190524,0.041
20190525,0.024
20190526,0.02
20190527,0.015
20190528,0.017
20190529,0.026
20190530,0.026
20190531,0.014
