x,time,y
1,12-Jan,98.343
2,12-Feb,98.761
3,12-Mar,98.733
4,12-Apr,98.585
5,12-May,98.631
6,12-Jun,98.352
7,12-Jul,97.897
8,12-Aug,98.585
9,12-Sep,99.607
10,12-Oct,99.245
11,12-Nov,98.594
12,12-Dec,98.715
13,13-Jan,99.459
14,13-Feb,99.923
15,13-Mar,99.682
16,13-Apr,99.477
17,13-May,99.133
18,13-Jun,98.891
19,13-Jul,98.975
20,13-Aug,99.644
21,13-Sep,99.821
22,13-Oct,99.282
23,13-Nov,99.068
24,13-Dec,99.245
25,14-Jan,100.035
26,14-Feb,100.342
27,14-Mar,100.5
28,14-Apr,100.481
29,14-May,100.481
30,14-Jun,100.295
31,14-Jul,100.314
32,14-Aug,100.416
33,14-Sep,100.462
34,14-Oct,99.979
35,14-Nov,99.747
36,14-Dec,99.589
37,15-Jan,99.77
38,15-Feb,99.75
39,15-Mar,99.87
40,15-Apr,99.77
41,15-May,100.01
42,15-Jun,100.18
43,15-Jul,100.17
44,15-Aug,100.27
45,15-Sep,100.17
46,15-Oct,100.11
47,15-Nov,99.86
48,15-Dec,100.09
49,16-Jan,100.19
50,16-Feb,100.75
51,16-Mar,100.39
52,16-Apr,100.41
53,16-May,100.37
54,16-Jun,100.49
55,16-Jul,99.85
56,16-Aug,100.07
57,16-Sep,101.19
58,16-Oct,101.55
59,16-Nov,101.5
60,16-Dec,101.32
61,17-Jan,102.84
62,17-Feb,103.27
63,17-Mar,103.26
64,17-Apr,102.86
65,17-May,102.91
66,17-Jun,102.79
67,17-Jul,102.81
68,17-Aug,103.62
69,17-Sep,103.99
70,17-Oct,103.61
71,17-Nov,102.79
72,17-Dec,102.96
73,18-Jan,103.59
74,18-Feb,104.6
75,18-Mar,104.4
76,18-Apr,104.4
77,18-May,104.44
78,18-Jun,104.34
79,18-Jul,103.94
80,18-Aug,105.17
81,18-Sep,106.56
82,18-Oct,106.26
83,18-Nov,105.16
84,18-Dec,104.32
85,19-Jan,104.03
