x,time,y
1,2012년 1월,3.3
2,2012년 2월,3.4
3,2012년 3월,3.3
4,2012년 4월,3.3
5,2012년 5월,3.2
6,2012년 6월,3.2
7,2012년 7월,3.1
8,2012년 8월,3.1
9,2012년 9월,3.2
10,2012년 10월,3.1
11,2012년 11월,3.1
12,2012년 12월,3.1
13,2013년 1월,3.2
14,2013년 2월,3.2
15,2013년 3월,3.1
16,2013년 4월,3
17,2013년 5월,3.1
18,2013년 6월,3.1
19,2013년 7월,3.2
20,2013년 8월,3.1
21,2013년 9월,3
22,2013년 10월,3.1
23,2013년 11월,3
24,2013년 12월,3.2
25,2014년 1월,3.3
26,2014년 2월,3.6
27,2014년 3월,3.4
28,2014년 4월,3.6
29,2014년 5월,3.6
30,2014년 6월,3.5
31,2014년 7월,3.4
32,2014년 8월,3.4
33,2014년 9월,3.4
34,2014년 10월,3.6
35,2014년 11월,3.5
36,2014년 12월,3.7
37,2015년 1월,3.6
38,2015년 2월,3.6
39,2015년 3월,3.5
40,2015년 4월,3.6
41,2015년 5월,3.8
42,2015년 6월,3.8
43,2015년 7월,3.7
44,2015년 8월,3.5
45,2015년 9월,3.5
46,2015년 10월,3.5
47,2015년 11월,3.6
48,2015년 12월,3.5
49,2016년 1월,3.6
50,2016년 2월,3.8
51,2016년 3월,3.7
52,2016년 4월,3.6
53,2016년 5월,3.7
54,2016년 6월,3.6
55,2016년 7월,3.6
56,2016년 8월,3.7
57,2016년 9월,3.9
58,2016년 10월,3.8
59,2016년 11월,3.6
60,2016년 12월,3.5
61,2017년 1월,3.6
62,2017년 2월,3.9
63,2017년 3월,3.6
64,2017년 4월,3.9
65,2017년 5월,3.6
66,2017년 6월,3.8
67,2017년 7월,3.5
68,2017년 8월,3.7
69,2017년 9월,3.6
70,2017년 10월,3.6
71,2017년 11월,3.7
72,2017년 12월,3.7
73,2018년 1월,3.6
74,2018년 2월,3.6
75,2018년 3월,4
76,2018년 4월,3.8
77,2018년 5월,4
78,2018년 6월,3.7
79,2018년 7월,3.8
80,2018년 8월,4.1
81,2018년 9월,4
82,2018년 10월,3.9
83,2018년 11월,3.8
84,2018년 12월,3.8
85,2019년 1월,4.4
